[GIN] 2018/11/26 - 16:20:59 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:09 | 200 |       998.7µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:13 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:17 | 200 |       994.5µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:18 | 200 |       997.7µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:20 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:21 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:29 | 200 |         991µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:21:31 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:01 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:03 | 200 |       996.7µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:05 | 200 |       998.3µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:06 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:08 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:23:09 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:33:12 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:33:25 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:43:03 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:43:12 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:43:13 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:43:15 | 200 |      1.0006ms |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:43:27 | 200 |       997.4µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:44:08 | 200 |         997µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:44:14 | 200 |      1.0109ms |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:45:54 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:45:59 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:00 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:01 | 200 |       997.1µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:24 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:28 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:44 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:46:48 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:47:16 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:47:19 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 16:47:23 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:10:04 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:10:13 | 200 |       994.8µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:10:16 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:12:05 | 200 | 1m10.4421079s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:13:34 | 200 | 1m18.4207729s |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:16:37 | 200 |      2.9951ms |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:17:01 | 200 |       999.6µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:17:19 | 200 |      1.0013ms |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:31:17 | 200 |       995.8µs |       127.0.0.1 | GET      /api/chat/ws
[GIN] 2018/11/26 - 17:48:08 | 200 |            0s |       127.0.0.1 | GET      /api/chat/ws
